from,to,relation,weight
T,GiRa,family,1
GiRa,T,family,1
VB,GiMo,family,1
VB,SaMo,family,1
GiMo,VB,family,1
SaMo,VB,family,1
GiMo,SaMo,family,2
SaMo,GiMo,family,2
VC,AnPi,family,1
VC,GiPi,family,1
VC,ViPi,family,1
AnPi,VC,family,1
GiPi,VC,family,1
ViPi,VC,family,1
AnPi,GiPi,family,2
AnPi,ViPi,family,2
GiPi,AnPi,family,2
GiPi,ViPi,family,2
ViPi,AnPi,family,2
ViPi,GiPi,family,2
N,RaSp,family,1
N,GiuS,family,1
N,ARot,family,1
RaSp,N,family,1
GiuS,N,family,1
ARot,N,family,1
RaSp,GiuS,family,2
RaSp,ARot,family,1
GiuS,RaSp,family,2
GiuS,ARot,family,1
ARot,RaSp,family,1
ARot,GiuS,family,1
PC,ViSo,family,1
PC,GiCo,family,1
PC,GiDi,family,1
PC,SeMi,family,1
ViSo,PC,family,1
GiCo,PC,family,1
GiDi,PC,family,1
SeMi,PC,family,1
ViSo,GiCo,family,1
ViSo,GiDi,family,1
ViSo,SeMi,family,1
GiCo,ViSo,family,1
GiCo,GiDi,family,1
GiCo,SeMi,family,1
GiDi,ViSo,family,1
GiDi,GiCo,family,1
GiDi,SeMi,family,1
SeMi,ViSo,family,1
SeMi,GiCo,family,1
SeMi,GiDi,family,1
FS,BeSa,family,1
FS,FrCa,family,1
FS,DoCo,family,1
FS,SaCr,family,1
FS,SaEr,family,1
FS,AnFe,family,1
FS,FrFe,family,1
FS,GiFe,family,1
BeSa,FS,family,1
FrCa,FS,family,1
DoCo,FS,family,1
SaCr,FS,family,1
SaEr,FS,family,1
AnFe,FS,family,1
FrFe,FS,family,1
GiFe,FS,family,1
BeSa,FrCa,family,1
BeSa,DoCo,family,1
BeSa,SaCr,family,1
BeSa,SaEr,family,1
BeSa,AnFe,family,1
BeSa,FrFe,family,1
BeSa,GiFe,family,1
FrCa,BeSa,family,1
FrCa,DoCo,family,1
FrCa,SaCr,family,1
FrCa,SaEr,family,1
FrCa,AnFe,family,1
FrCa,FrFe,family,1
FrCa,GiFe,family,1
DoCo,BeSa,family,1
DoCo,FrCa,family,1
DoCo,SaCr,family,1
DoCo,SaEr,family,1
DoCo,AnFe,family,1
DoCo,FrFe,family,1
DoCo,GiFe,family,1
SaCr,BeSa,family,1
SaCr,FrCa,family,1
SaCr,DoCo,family,1
SaCr,SaEr,family,1
SaCr,AnFe,family,1
SaCr,FrFe,family,1
SaCr,GiFe,family,1
SaEr,BeSa,family,1
SaEr,FrCa,family,1
SaEr,DoCo,family,1
SaEr,SaCr,family,1
SaEr,AnFe,family,1
SaEr,FrFe,family,1
SaEr,GiFe,family,1
AnFe,BeSa,family,1
AnFe,FrCa,family,1
AnFe,DoCo,family,1
AnFe,SaCr,family,1
AnFe,SaEr,family,1
AnFe,FrFe,family,2
AnFe,GiFe,family,2
FrFe,BeSa,family,1
FrFe,FrCa,family,1
FrFe,DoCo,family,1
FrFe,SaCr,family,1
FrFe,SaEr,family,1
FrFe,AnFe,family,2
FrFe,GiFe,family,2
GiFe,BeSa,family,1
GiFe,FrCa,family,1
GiFe,DoCo,family,1
GiFe,SaCr,family,1
GiFe,SaEr,family,1
GiFe,AnFe,family,2
GiFe,FrFe,family,2
BeSa,SaRi,ally,2
BeSa,MaAg,ally,1
BeSa,GMad,ally,1
AnFe,SaRi,ally,1
AnFe,MaAg,ally,1
AnFe,GMad,ally,1
CM,FiMa,family,1
CM,BeTi,family,1
CM,PiVe,family,1
CM,CaZa,family,1
CM,AnMa,family,1
CM,GiMa,family,1
CM,ViMa,family,1
CM,GaTi,family,1
CM,GiTi,family,1
CM,LoTi,family,1
CM,AnVe,family,1
CM,CoVe,family,1
CM,GiVe,family,1
CM,RuVe,family,1
CM,GiZa,family,1
CM,OnZa,family,1
CM,GiAb,family,1
CM,MaAb,family,1
CM,PaAl,family,1
CM,PiAl,family,1
CM,FiAr,family,1
CM,GaAr,family,1
CM,FrBu,family,1
CM,ViBu,family,1
CM,SaBu,family,1
CM,SaCh,family,1
CM,DoFe,family,1
CM,GiIn,family,1
CM,GaLo,family,1
CM,GiLo,family,1
CM,GiOl,family,1
CM,AnSi,family,1
CM,FrPa,family,1
CM,ViSi,family,1
CM,VSdA,family,1
CM,PiTa,family,1
FiMa,CM,family,1
BeTi,CM,family,1
PiVe,CM,family,1
CaZa,CM,family,1
AnMa,CM,family,1
GiMa,CM,family,1
ViMa,CM,family,1
GaTi,CM,family,1
GiTi,CM,family,1
LoTi,CM,family,1
AnVe,CM,family,1
CoVe,CM,family,1
GiVe,CM,family,1
RuVe,CM,family,1
GiZa,CM,family,1
OnZa,CM,family,1
GiAb,CM,family,1
MaAb,CM,family,1
PaAl,CM,family,1
PiAl,CM,family,1
FiAr,CM,family,1
GaAr,CM,family,1
FrBu,CM,family,1
ViBu,CM,family,1
SaBu,CM,family,1
SaCh,CM,family,1
DoFe,CM,family,1
GiIn,CM,family,1
GaLo,CM,family,1
GiLo,CM,family,1
GiOl,CM,family,1
AnSi,CM,family,1
FrPa,CM,family,1
ViSi,CM,family,1
VSdA,CM,family,1
PiTa,CM,family,1
FiMa,BeTi,family,1
FiMa,PiVe,family,1
FiMa,CaZa,family,1
FiMa,AnMa,family,2
FiMa,GiMa,family,2
FiMa,ViMa,family,2
FiMa,GaTi,family,1
FiMa,GiTi,family,1
FiMa,LoTi,family,1
FiMa,AnVe,family,1
FiMa,CoVe,family,1
FiMa,GiVe,family,1
FiMa,RuVe,family,1
FiMa,GiZa,family,1
FiMa,OnZa,family,1
FiMa,GiAb,family,1
FiMa,MaAb,family,1
FiMa,PaAl,family,1
FiMa,PiAl,family,1
FiMa,FiAr,family,1
FiMa,GaAr,family,1
FiMa,FrBu,family,1
FiMa,ViBu,family,1
FiMa,SaBu,family,1
FiMa,SaCh,family,1
FiMa,DoFe,family,1
FiMa,GiIn,family,1
FiMa,GaLo,family,1
FiMa,GiLo,family,1
FiMa,GiOl,family,1
FiMa,AnSi,family,1
FiMa,FrPa,family,1
FiMa,ViSi,family,1
FiMa,VSdA,family,1
FiMa,PiTa,family,1
BeTi,FiMa,family,1
BeTi,PiVe,family,1
BeTi,CaZa,family,1
BeTi,AnMa,family,1
BeTi,GiMa,family,1
BeTi,ViMa,family,1
BeTi,GaTi,family,2
BeTi,GiTi,family,2
BeTi,LoTi,family,2
BeTi,AnVe,family,1
BeTi,CoVe,family,1
BeTi,GiVe,family,1
BeTi,RuVe,family,1
BeTi,GiZa,family,1
BeTi,OnZa,family,1
BeTi,GiAb,family,1
BeTi,MaAb,family,1
BeTi,PaAl,family,1
BeTi,PiAl,family,1
BeTi,FiAr,family,1
BeTi,GaAr,family,1
BeTi,FrBu,family,1
BeTi,ViBu,family,1
BeTi,SaBu,family,1
BeTi,SaCh,family,1
BeTi,DoFe,family,1
BeTi,GiIn,family,1
BeTi,GaLo,family,1
BeTi,GiLo,family,1
BeTi,GiOl,family,1
BeTi,AnSi,family,1
BeTi,FrPa,family,1
BeTi,ViSi,family,1
BeTi,VSdA,family,1
BeTi,PiTa,family,1
PiVe,FiMa,family,1
PiVe,BeTi,family,1
PiVe,CaZa,family,1
PiVe,AnMa,family,1
PiVe,GiMa,family,1
PiVe,ViMa,family,1
PiVe,GaTi,family,1
PiVe,GiTi,family,1
PiVe,LoTi,family,1
PiVe,AnVe,family,2
PiVe,CoVe,family,2
PiVe,GiVe,family,2
PiVe,RuVe,family,2
PiVe,GiZa,family,1
PiVe,OnZa,family,1
PiVe,GiAb,family,1
PiVe,MaAb,family,1
PiVe,PaAl,family,1
PiVe,PiAl,family,1
PiVe,FiAr,family,1
PiVe,GaAr,family,1
PiVe,FrBu,family,1
PiVe,ViBu,family,1
PiVe,SaBu,family,1
PiVe,SaCh,family,1
PiVe,DoFe,family,1
PiVe,GiIn,family,1
PiVe,GaLo,family,1
PiVe,GiLo,family,1
PiVe,GiOl,family,1
PiVe,AnSi,family,1
PiVe,FrPa,family,1
PiVe,ViSi,family,1
PiVe,VSdA,family,1
PiVe,PiTa,family,1
CaZa,FiMa,family,1
CaZa,BeTi,family,1
CaZa,PiVe,family,1
CaZa,AnMa,family,1
CaZa,GiMa,family,1
CaZa,ViMa,family,1
CaZa,GaTi,family,1
CaZa,GiTi,family,1
CaZa,LoTi,family,1
CaZa,AnVe,family,1
CaZa,CoVe,family,1
CaZa,GiVe,family,1
CaZa,RuVe,family,1
CaZa,GiZa,family,2
CaZa,OnZa,family,2
CaZa,GiAb,family,1
CaZa,MaAb,family,1
CaZa,PaAl,family,1
CaZa,PiAl,family,1
CaZa,FiAr,family,1
CaZa,GaAr,family,1
CaZa,FrBu,family,1
CaZa,ViBu,family,1
CaZa,SaBu,family,1
CaZa,SaCh,family,1
CaZa,DoFe,family,1
CaZa,GiIn,family,1
CaZa,GaLo,family,1
CaZa,GiLo,family,1
CaZa,GiOl,family,1
CaZa,AnSi,family,1
CaZa,FrPa,family,1
CaZa,ViSi,family,1
CaZa,VSdA,family,1
CaZa,PiTa,family,1
AnMa,FiMa,family,2
AnMa,BeTi,family,1
AnMa,PiVe,family,1
AnMa,CaZa,family,1
AnMa,GiMa,family,2
AnMa,ViMa,family,2
AnMa,GaTi,family,1
AnMa,GiTi,family,1
AnMa,LoTi,family,1
AnMa,AnVe,family,1
AnMa,CoVe,family,1
AnMa,GiVe,family,1
AnMa,RuVe,family,1
AnMa,GiZa,family,1
AnMa,OnZa,family,1
AnMa,GiAb,family,1
AnMa,MaAb,family,1
AnMa,PaAl,family,1
AnMa,PiAl,family,1
AnMa,FiAr,family,1
AnMa,GaAr,family,1
AnMa,FrBu,family,1
AnMa,ViBu,family,1
AnMa,SaBu,family,1
AnMa,SaCh,family,1
AnMa,DoFe,family,1
AnMa,GiIn,family,1
AnMa,GaLo,family,1
AnMa,GiLo,family,1
AnMa,GiOl,family,1
AnMa,AnSi,family,1
AnMa,FrPa,family,1
AnMa,ViSi,family,1
AnMa,VSdA,family,1
AnMa,PiTa,family,1
GiMa,FiMa,family,2
GiMa,BeTi,family,1
GiMa,PiVe,family,1
GiMa,CaZa,family,1
GiMa,AnMa,family,2
GiMa,ViMa,family,2
GiMa,GaTi,family,1
GiMa,GiTi,family,1
GiMa,LoTi,family,1
GiMa,AnVe,family,1
GiMa,CoVe,family,1
GiMa,GiVe,family,1
GiMa,RuVe,family,1
GiMa,GiZa,family,1
GiMa,OnZa,family,1
GiMa,GiAb,family,1
GiMa,MaAb,family,1
GiMa,PaAl,family,1
GiMa,PiAl,family,1
GiMa,FiAr,family,1
GiMa,GaAr,family,1
GiMa,FrBu,family,1
GiMa,ViBu,family,1
GiMa,SaBu,family,1
GiMa,SaCh,family,1
GiMa,DoFe,family,1
GiMa,GiIn,family,1
GiMa,GaLo,family,1
GiMa,GiLo,family,1
GiMa,GiOl,family,1
GiMa,AnSi,family,1
GiMa,FrPa,family,1
GiMa,ViSi,family,1
GiMa,VSdA,family,1
GiMa,PiTa,family,1
ViMa,FiMa,family,2
ViMa,BeTi,family,1
ViMa,PiVe,family,1
ViMa,CaZa,family,1
ViMa,AnMa,family,2
ViMa,GiMa,family,2
ViMa,GaTi,family,1
ViMa,GiTi,family,1
ViMa,LoTi,family,1
ViMa,AnVe,family,1
ViMa,CoVe,family,1
ViMa,GiVe,family,1
ViMa,RuVe,family,1
ViMa,GiZa,family,1
ViMa,OnZa,family,1
ViMa,GiAb,family,1
ViMa,MaAb,family,1
ViMa,PaAl,family,1
ViMa,PiAl,family,1
ViMa,FiAr,family,1
ViMa,GaAr,family,1
ViMa,FrBu,family,1
ViMa,ViBu,family,1
ViMa,SaBu,family,1
ViMa,SaCh,family,1
ViMa,DoFe,family,1
ViMa,GiIn,family,1
ViMa,GaLo,family,1
ViMa,GiLo,family,1
ViMa,GiOl,family,1
ViMa,AnSi,family,1
ViMa,FrPa,family,1
ViMa,ViSi,family,1
ViMa,VSdA,family,1
ViMa,PiTa,family,1
GaTi,FiMa,family,1
GaTi,BeTi,family,2
GaTi,PiVe,family,1
GaTi,CaZa,family,1
GaTi,AnMa,family,1
GaTi,GiMa,family,1
GaTi,ViMa,family,1
GaTi,GiTi,family,2
GaTi,LoTi,family,2
GaTi,AnVe,family,1
GaTi,CoVe,family,1
GaTi,GiVe,family,1
GaTi,RuVe,family,1
GaTi,GiZa,family,1
GaTi,OnZa,family,1
GaTi,GiAb,family,1
GaTi,MaAb,family,1
GaTi,PaAl,family,1
GaTi,PiAl,family,1
GaTi,FiAr,family,1
GaTi,GaAr,family,1
GaTi,FrBu,family,1
GaTi,ViBu,family,1
GaTi,SaBu,family,1
GaTi,SaCh,family,1
GaTi,DoFe,family,1
GaTi,GiIn,family,1
GaTi,GaLo,family,1
GaTi,GiLo,family,1
GaTi,GiOl,family,1
GaTi,AnSi,family,1
GaTi,FrPa,family,1
GaTi,ViSi,family,1
GaTi,VSdA,family,1
GaTi,PiTa,family,1
GiTi,FiMa,family,1
GiTi,BeTi,family,2
GiTi,PiVe,family,1
GiTi,CaZa,family,1
GiTi,AnMa,family,1
GiTi,GiMa,family,1
GiTi,ViMa,family,1
GiTi,GaTi,family,2
GiTi,LoTi,family,2
GiTi,AnVe,family,1
GiTi,CoVe,family,1
GiTi,GiVe,family,1
GiTi,RuVe,family,1
GiTi,GiZa,family,1
GiTi,OnZa,family,1
GiTi,GiAb,family,1
GiTi,MaAb,family,1
GiTi,PaAl,family,1
GiTi,PiAl,family,1
GiTi,FiAr,family,1
GiTi,GaAr,family,1
GiTi,FrBu,family,1
GiTi,ViBu,family,1
GiTi,SaBu,family,1
GiTi,SaCh,family,1
GiTi,DoFe,family,1
GiTi,GiIn,family,1
GiTi,GaLo,family,1
GiTi,GiLo,family,1
GiTi,GiOl,family,1
GiTi,AnSi,family,1
GiTi,FrPa,family,1
GiTi,ViSi,family,1
GiTi,VSdA,family,1
GiTi,PiTa,family,1
LoTi,FiMa,family,1
LoTi,BeTi,family,2
LoTi,PiVe,family,1
LoTi,CaZa,family,1
LoTi,AnMa,family,1
LoTi,GiMa,family,1
LoTi,ViMa,family,1
LoTi,GaTi,family,2
LoTi,GiTi,family,2
LoTi,AnVe,family,1
LoTi,CoVe,family,1
LoTi,GiVe,family,1
LoTi,RuVe,family,1
LoTi,GiZa,family,1
LoTi,OnZa,family,1
LoTi,GiAb,family,1
LoTi,MaAb,family,1
LoTi,PaAl,family,1
LoTi,PiAl,family,1
LoTi,FiAr,family,1
LoTi,GaAr,family,1
LoTi,FrBu,family,1
LoTi,ViBu,family,1
LoTi,SaBu,family,1
LoTi,SaCh,family,1
LoTi,DoFe,family,1
LoTi,GiIn,family,1
LoTi,GaLo,family,1
LoTi,GiLo,family,1
LoTi,GiOl,family,1
LoTi,AnSi,family,1
LoTi,FrPa,family,1
LoTi,ViSi,family,1
LoTi,VSdA,family,1
LoTi,PiTa,family,1
AnVe,FiMa,family,1
AnVe,BeTi,family,1
AnVe,PiVe,family,2
AnVe,CaZa,family,1
AnVe,AnMa,family,1
AnVe,GiMa,family,1
AnVe,ViMa,family,1
AnVe,GaTi,family,1
AnVe,GiTi,family,1
AnVe,LoTi,family,1
AnVe,CoVe,family,2
AnVe,GiVe,family,2
AnVe,RuVe,family,2
AnVe,GiZa,family,1
AnVe,OnZa,family,1
AnVe,GiAb,family,1
AnVe,MaAb,family,1
AnVe,PaAl,family,1
AnVe,PiAl,family,1
AnVe,FiAr,family,1
AnVe,GaAr,family,1
AnVe,FrBu,family,1
AnVe,ViBu,family,1
AnVe,SaBu,family,1
AnVe,SaCh,family,1
AnVe,DoFe,family,1
AnVe,GiIn,family,1
AnVe,GaLo,family,1
AnVe,GiLo,family,1
AnVe,GiOl,family,1
AnVe,AnSi,family,1
AnVe,FrPa,family,1
AnVe,ViSi,family,1
AnVe,VSdA,family,1
AnVe,PiTa,family,1
CoVe,FiMa,family,1
CoVe,BeTi,family,1
CoVe,PiVe,family,2
CoVe,CaZa,family,1
CoVe,AnMa,family,1
CoVe,GiMa,family,1
CoVe,ViMa,family,1
CoVe,GaTi,family,1
CoVe,GiTi,family,1
CoVe,LoTi,family,1
CoVe,AnVe,family,2
CoVe,GiVe,family,2
CoVe,RuVe,family,2
CoVe,GiZa,family,1
CoVe,OnZa,family,1
CoVe,GiAb,family,1
CoVe,MaAb,family,1
CoVe,PaAl,family,1
CoVe,PiAl,family,1
CoVe,FiAr,family,1
CoVe,GaAr,family,1
CoVe,FrBu,family,1
CoVe,ViBu,family,1
CoVe,SaBu,family,1
CoVe,SaCh,family,1
CoVe,DoFe,family,1
CoVe,GiIn,family,1
CoVe,GaLo,family,1
CoVe,GiLo,family,1
CoVe,GiOl,family,1
CoVe,AnSi,family,1
CoVe,FrPa,family,1
CoVe,ViSi,family,1
CoVe,VSdA,family,1
CoVe,PiTa,family,1
GiVe,FiMa,family,1
GiVe,BeTi,family,1
GiVe,PiVe,family,2
GiVe,CaZa,family,1
GiVe,AnMa,family,1
GiVe,GiMa,family,1
GiVe,ViMa,family,1
GiVe,GaTi,family,1
GiVe,GiTi,family,1
GiVe,LoTi,family,1
GiVe,AnVe,family,2
GiVe,CoVe,family,2
GiVe,RuVe,family,2
GiVe,GiZa,family,1
GiVe,OnZa,family,1
GiVe,GiAb,family,1
GiVe,MaAb,family,1
GiVe,PaAl,family,1
GiVe,PiAl,family,1
GiVe,FiAr,family,1
GiVe,GaAr,family,1
GiVe,FrBu,family,1
GiVe,ViBu,family,1
GiVe,SaBu,family,1
GiVe,SaCh,family,1
GiVe,DoFe,family,1
GiVe,GiIn,family,1
GiVe,GaLo,family,1
GiVe,GiLo,family,1
GiVe,GiOl,family,1
GiVe,AnSi,family,1
GiVe,FrPa,family,1
GiVe,ViSi,family,1
GiVe,VSdA,family,1
GiVe,PiTa,family,1
RuVe,FiMa,family,1
RuVe,BeTi,family,1
RuVe,PiVe,family,2
RuVe,CaZa,family,1
RuVe,AnMa,family,1
RuVe,GiMa,family,1
RuVe,ViMa,family,1
RuVe,GaTi,family,1
RuVe,GiTi,family,1
RuVe,LoTi,family,1
RuVe,AnVe,family,2
RuVe,CoVe,family,2
RuVe,GiVe,family,2
RuVe,GiZa,family,1
RuVe,OnZa,family,1
RuVe,GiAb,family,1
RuVe,MaAb,family,1
RuVe,PaAl,family,1
RuVe,PiAl,family,1
RuVe,FiAr,family,1
RuVe,GaAr,family,1
RuVe,FrBu,family,1
RuVe,ViBu,family,1
RuVe,SaBu,family,1
RuVe,SaCh,family,1
RuVe,DoFe,family,1
RuVe,GiIn,family,1
RuVe,GaLo,family,1
RuVe,GiLo,family,1
RuVe,GiOl,family,1
RuVe,AnSi,family,1
RuVe,FrPa,family,1
RuVe,ViSi,family,1
RuVe,VSdA,family,1
RuVe,PiTa,family,1
GiZa,FiMa,family,1
GiZa,BeTi,family,1
GiZa,PiVe,family,1
GiZa,CaZa,family,2
GiZa,AnMa,family,1
GiZa,GiMa,family,1
GiZa,ViMa,family,1
GiZa,GaTi,family,1
GiZa,GiTi,family,1
GiZa,LoTi,family,1
GiZa,AnVe,family,1
GiZa,CoVe,family,1
GiZa,GiVe,family,1
GiZa,RuVe,family,1
GiZa,OnZa,family,2
GiZa,GiAb,family,1
GiZa,MaAb,family,1
GiZa,PaAl,family,1
GiZa,PiAl,family,1
GiZa,FiAr,family,1
GiZa,GaAr,family,1
GiZa,FrBu,family,1
GiZa,ViBu,family,1
GiZa,SaBu,family,1
GiZa,SaCh,family,1
GiZa,DoFe,family,1
GiZa,GiIn,family,1
GiZa,GaLo,family,1
GiZa,GiLo,family,1
GiZa,GiOl,family,1
GiZa,AnSi,family,1
GiZa,FrPa,family,1
GiZa,ViSi,family,1
GiZa,VSdA,family,1
GiZa,PiTa,family,1
OnZa,FiMa,family,1
OnZa,BeTi,family,1
OnZa,PiVe,family,1
OnZa,CaZa,family,2
OnZa,AnMa,family,1
OnZa,GiMa,family,1
OnZa,ViMa,family,1
OnZa,GaTi,family,1
OnZa,GiTi,family,1
OnZa,LoTi,family,1
OnZa,AnVe,family,1
OnZa,CoVe,family,1
OnZa,GiVe,family,1
OnZa,RuVe,family,1
OnZa,GiZa,family,2
OnZa,GiAb,family,1
OnZa,MaAb,family,1
OnZa,PaAl,family,1
OnZa,PiAl,family,1
OnZa,FiAr,family,1
OnZa,GaAr,family,1
OnZa,FrBu,family,1
OnZa,ViBu,family,1
OnZa,SaBu,family,1
OnZa,SaCh,family,1
OnZa,DoFe,family,1
OnZa,GiIn,family,1
OnZa,GaLo,family,1
OnZa,GiLo,family,1
OnZa,GiOl,family,1
OnZa,AnSi,family,1
OnZa,FrPa,family,1
OnZa,ViSi,family,1
OnZa,VSdA,family,1
OnZa,PiTa,family,1
GiAb,FiMa,family,1
GiAb,BeTi,family,1
GiAb,PiVe,family,1
GiAb,CaZa,family,1
GiAb,AnMa,family,1
GiAb,GiMa,family,1
GiAb,ViMa,family,1
GiAb,GaTi,family,1
GiAb,GiTi,family,1
GiAb,LoTi,family,1
GiAb,AnVe,family,1
GiAb,CoVe,family,1
GiAb,GiVe,family,1
GiAb,RuVe,family,1
GiAb,GiZa,family,1
GiAb,OnZa,family,1
GiAb,MaAb,family,2
GiAb,PaAl,family,1
GiAb,PiAl,family,1
GiAb,FiAr,family,1
GiAb,GaAr,family,1
GiAb,FrBu,family,1
GiAb,ViBu,family,1
GiAb,SaBu,family,1
GiAb,SaCh,family,1
GiAb,DoFe,family,1
GiAb,GiIn,family,1
GiAb,GaLo,family,1
GiAb,GiLo,family,1
GiAb,GiOl,family,1
GiAb,AnSi,family,1
GiAb,FrPa,family,1
GiAb,ViSi,family,1
GiAb,VSdA,family,1
GiAb,PiTa,family,1
MaAb,FiMa,family,1
MaAb,BeTi,family,1
MaAb,PiVe,family,1
MaAb,CaZa,family,1
MaAb,AnMa,family,1
MaAb,GiMa,family,1
MaAb,ViMa,family,1
MaAb,GaTi,family,1
MaAb,GiTi,family,1
MaAb,LoTi,family,1
MaAb,AnVe,family,1
MaAb,CoVe,family,1
MaAb,GiVe,family,1
MaAb,RuVe,family,1
MaAb,GiZa,family,1
MaAb,OnZa,family,1
MaAb,GiAb,family,2
MaAb,PaAl,family,1
MaAb,PiAl,family,1
MaAb,FiAr,family,1
MaAb,GaAr,family,1
MaAb,FrBu,family,1
MaAb,ViBu,family,1
MaAb,SaBu,family,1
MaAb,SaCh,family,1
MaAb,DoFe,family,1
MaAb,GiIn,family,1
MaAb,GaLo,family,1
MaAb,GiLo,family,1
MaAb,GiOl,family,1
MaAb,AnSi,family,1
MaAb,FrPa,family,1
MaAb,ViSi,family,1
MaAb,VSdA,family,1
MaAb,PiTa,family,1
PaAl,FiMa,family,1
PaAl,BeTi,family,1
PaAl,PiVe,family,1
PaAl,CaZa,family,1
PaAl,AnMa,family,1
PaAl,GiMa,family,1
PaAl,ViMa,family,1
PaAl,GaTi,family,1
PaAl,GiTi,family,1
PaAl,LoTi,family,1
PaAl,AnVe,family,1
PaAl,CoVe,family,1
PaAl,GiVe,family,1
PaAl,RuVe,family,1
PaAl,GiZa,family,1
PaAl,OnZa,family,1
PaAl,GiAb,family,1
PaAl,MaAb,family,1
PaAl,PiAl,family,2
PaAl,FiAr,family,1
PaAl,GaAr,family,1
PaAl,FrBu,family,1
PaAl,ViBu,family,1
PaAl,SaBu,family,1
PaAl,SaCh,family,1
PaAl,DoFe,family,1
PaAl,GiIn,family,1
PaAl,GaLo,family,1
PaAl,GiLo,family,1
PaAl,GiOl,family,1
PaAl,AnSi,family,1
PaAl,FrPa,family,1
PaAl,ViSi,family,1
PaAl,VSdA,family,1
PaAl,PiTa,family,1
PiAl,FiMa,family,1
PiAl,BeTi,family,1
PiAl,PiVe,family,1
PiAl,CaZa,family,1
PiAl,AnMa,family,1
PiAl,GiMa,family,1
PiAl,ViMa,family,1
PiAl,GaTi,family,1
PiAl,GiTi,family,1
PiAl,LoTi,family,1
PiAl,AnVe,family,1
PiAl,CoVe,family,1
PiAl,GiVe,family,1
PiAl,RuVe,family,1
PiAl,GiZa,family,1
