from,to,relation,weight
PiAl,OnZa,family,1
PiAl,GiAb,family,1
PiAl,MaAb,family,1
PiAl,PaAl,family,2
PiAl,FiAr,family,1
PiAl,GaAr,family,1
PiAl,FrBu,family,1
PiAl,ViBu,family,1
PiAl,SaBu,family,1
PiAl,SaCh,family,1
PiAl,DoFe,family,1
PiAl,GiIn,family,1
PiAl,GaLo,family,1
PiAl,GiLo,family,1
PiAl,GiOl,family,1
PiAl,AnSi,family,1
PiAl,FrPa,family,1
PiAl,ViSi,family,1
PiAl,VSdA,family,1
PiAl,PiTa,family,1
FiAr,FiMa,family,1
FiAr,BeTi,family,1
FiAr,PiVe,family,1
FiAr,CaZa,family,1
FiAr,AnMa,family,1
FiAr,GiMa,family,1
FiAr,ViMa,family,1
FiAr,GaTi,family,1
FiAr,GiTi,family,1
FiAr,LoTi,family,1
FiAr,AnVe,family,1
FiAr,CoVe,family,1
FiAr,GiVe,family,1
FiAr,RuVe,family,1
FiAr,GiZa,family,1
FiAr,OnZa,family,1
FiAr,GiAb,family,1
FiAr,MaAb,family,1
FiAr,PaAl,family,1
FiAr,PiAl,family,1
FiAr,GaAr,family,2
FiAr,FrBu,family,1
FiAr,ViBu,family,1
FiAr,SaBu,family,1
FiAr,SaCh,family,1
FiAr,DoFe,family,1
FiAr,GiIn,family,1
FiAr,GaLo,family,1
FiAr,GiLo,family,1
FiAr,GiOl,family,1
FiAr,AnSi,family,1
FiAr,FrPa,family,1
FiAr,ViSi,family,1
FiAr,VSdA,family,1
FiAr,PiTa,family,1
GaAr,FiMa,family,1
GaAr,BeTi,family,1
GaAr,PiVe,family,1
GaAr,CaZa,family,1
GaAr,AnMa,family,1
GaAr,GiMa,family,1
GaAr,ViMa,family,1
GaAr,GaTi,family,1
GaAr,GiTi,family,1
GaAr,LoTi,family,1
GaAr,AnVe,family,1
GaAr,CoVe,family,1
GaAr,GiVe,family,1
GaAr,RuVe,family,1
GaAr,GiZa,family,1
GaAr,OnZa,family,1
GaAr,GiAb,family,1
GaAr,MaAb,family,1
GaAr,PaAl,family,1
GaAr,PiAl,family,1
GaAr,FiAr,family,2
GaAr,FrBu,family,1
GaAr,ViBu,family,1
GaAr,SaBu,family,1
GaAr,SaCh,family,1
GaAr,DoFe,family,1
GaAr,GiIn,family,1
GaAr,GaLo,family,1
GaAr,GiLo,family,1
GaAr,GiOl,family,1
GaAr,AnSi,family,1
GaAr,FrPa,family,1
GaAr,ViSi,family,1
GaAr,VSdA,family,1
GaAr,PiTa,family,1
FrBu,FiMa,family,1
FrBu,BeTi,family,1
FrBu,PiVe,family,1
FrBu,CaZa,family,1
FrBu,AnMa,family,1
FrBu,GiMa,family,1
FrBu,ViMa,family,1
FrBu,GaTi,family,1
FrBu,GiTi,family,1
FrBu,LoTi,family,1
FrBu,AnVe,family,1
FrBu,CoVe,family,1
FrBu,GiVe,family,1
FrBu,RuVe,family,1
FrBu,GiZa,family,1
FrBu,OnZa,family,1
FrBu,GiAb,family,1
FrBu,MaAb,family,1
FrBu,PaAl,family,1
FrBu,PiAl,family,1
FrBu,FiAr,family,1
FrBu,GaAr,family,1
FrBu,ViBu,family,2
FrBu,SaBu,family,2
FrBu,SaCh,family,1
FrBu,DoFe,family,1
FrBu,GiIn,family,1
FrBu,GaLo,family,1
FrBu,GiLo,family,1
FrBu,GiOl,family,1
FrBu,AnSi,family,1
FrBu,FrPa,family,1
FrBu,ViSi,family,1
FrBu,VSdA,family,1
FrBu,PiTa,family,1
ViBu,FiMa,family,1
ViBu,BeTi,family,1
ViBu,PiVe,family,1
ViBu,CaZa,family,1
ViBu,AnMa,family,1
ViBu,GiMa,family,1
ViBu,ViMa,family,1
ViBu,GaTi,family,1
ViBu,GiTi,family,1
ViBu,LoTi,family,1
ViBu,AnVe,family,1
ViBu,CoVe,family,1
ViBu,GiVe,family,1
ViBu,RuVe,family,1
ViBu,GiZa,family,1
ViBu,OnZa,family,1
ViBu,GiAb,family,1
ViBu,MaAb,family,1
ViBu,PaAl,family,1
ViBu,PiAl,family,1
ViBu,FiAr,family,1
ViBu,GaAr,family,1
ViBu,FrBu,family,2
ViBu,SaBu,family,2
ViBu,SaCh,family,1
ViBu,DoFe,family,1
ViBu,GiIn,family,1
ViBu,GaLo,family,1
ViBu,GiLo,family,1
ViBu,GiOl,family,1
ViBu,AnSi,family,1
ViBu,FrPa,family,1
ViBu,ViSi,family,1
ViBu,VSdA,family,1
ViBu,PiTa,family,1
SaBu,FiMa,family,1
SaBu,BeTi,family,1
SaBu,PiVe,family,1
SaBu,CaZa,family,1
SaBu,AnMa,family,1
SaBu,GiMa,family,1
SaBu,ViMa,family,1
SaBu,GaTi,family,1
SaBu,GiTi,family,1
SaBu,LoTi,family,1
SaBu,AnVe,family,1
SaBu,CoVe,family,1
SaBu,GiVe,family,1
SaBu,RuVe,family,1
SaBu,GiZa,family,1
SaBu,OnZa,family,1
SaBu,GiAb,family,1
SaBu,GiAb,family,1
SaBu,MaAb,family,1
SaBu,PaAl,family,1
SaBu,PiAl,family,1
SaBu,FiAr,family,1
SaBu,GaAr,family,1
SaBu,FrBu,family,2
SaBu,ViBu,family,2
SaBu,SaCh,family,1
SaBu,DoFe,family,1
SaBu,GiIn,family,1
SaBu,GaLo,family,1
SaBu,GiLo,family,1
SaBu,GiOl,family,1
SaBu,AnSi,family,1
SaBu,FrPa,family,1
SaBu,ViSi,family,1
SaBu,VSdA,family,1
SaBu,PiTa,family,1
SaCh,FiMa,family,1
SaCh,BeTi,family,1
SaCh,PiVe,family,1
SaCh,CaZa,family,1
SaCh,AnMa,family,1
SaCh,GiMa,family,1
SaCh,ViMa,family,1
SaCh,GaTi,family,1
SaCh,GiTi,family,1
SaCh,LoTi,family,1
SaCh,AnVe,family,1
SaCh,CoVe,family,1
SaCh,GiVe,family,1
SaCh,RuVe,family,1
SaCh,GiZa,family,1
SaCh,OnZa,family,1
SaCh,GiAb,family,1
SaCh,MaAb,family,1
SaCh,PaAl,family,1
SaCh,PiAl,family,1
SaCh,FiAr,family,1
SaCh,GaAr,family,1
SaCh,FrBu,family,1
SaCh,ViBu,family,1
SaCh,SaBu,family,1
SaCh,DoFe,family,1
SaCh,GiIn,family,1
SaCh,GaLo,family,1
SaCh,GiLo,family,1
SaCh,GiOl,family,1
SaCh,AnSi,family,1
SaCh,FrPa,family,1
SaCh,ViSi,family,1
SaCh,VSdA,family,1
SaCh,PiTa,family,1
DoFe,FiMa,family,1
DoFe,BeTi,family,1
DoFe,PiVe,family,1
DoFe,CaZa,family,1
DoFe,AnMa,family,1
DoFe,GiMa,family,1
DoFe,ViMa,family,1
DoFe,GaTi,family,1
DoFe,GiTi,family,1
DoFe,LoTi,family,1
DoFe,AnVe,family,1
DoFe,CoVe,family,1
DoFe,GiVe,family,1
DoFe,RuVe,family,1
DoFe,GiZa,family,1
DoFe,OnZa,family,1
DoFe,GiAb,family,1
DoFe,MaAb,family,1
DoFe,PaAl,family,1
DoFe,PiAl,family,1
DoFe,FiAr,family,1
DoFe,GaAr,family,1
DoFe,FrBu,family,1
DoFe,ViBu,family,1
DoFe,SaBu,family,1
DoFe,SaCh,family,1
DoFe,GiIn,family,1
DoFe,GaLo,family,1
DoFe,GiLo,family,1
DoFe,GiOl,family,1
DoFe,AnSi,family,1
DoFe,FrPa,family,1
DoFe,ViSi,family,1
DoFe,VSdA,family,1
DoFe,PiTa,family,1
GiIn,FiMa,family,1
GiIn,BeTi,family,1
GiIn,PiVe,family,1
GiIn,CaZa,family,1
GiIn,AnMa,family,1
GiIn,GiMa,family,1
GiIn,ViMa,family,1
GiIn,GaTi,family,1
GiIn,GiTi,family,1
GiIn,LoTi,family,1
GiIn,AnVe,family,1
GiIn,CoVe,family,1
GiIn,GiVe,family,1
GiIn,RuVe,family,1
GiIn,GiZa,family,1
GiIn,OnZa,family,1
GiIn,GiAb,family,1
GiIn,MaAb,family,1
GiIn,PaAl,family,1
GiIn,PiAl,family,1
GiIn,FiAr,family,1
GiIn,GaAr,family,1
GiIn,FrBu,family,1
GiIn,ViBu,family,1
GiIn,SaBu,family,1
GiIn,SaCh,family,1
GiIn,DoFe,family,1
GiIn,GaLo,family,1
GiIn,GiLo,family,1
GiIn,GiOl,family,1
GiIn,AnSi,family,1
GiIn,FrPa,family,1
GiIn,ViSi,family,1
GiIn,VSdA,family,1
GiIn,PiTa,family,1
GaLo,FiMa,family,1
GaLo,BeTi,family,1
GaLo,PiVe,family,1
GaLo,CaZa,family,1
GaLo,AnMa,family,1
GaLo,GiMa,family,1
GaLo,ViMa,family,1
GaLo,GaTi,family,1
GaLo,GiTi,family,1
GaLo,LoTi,family,1
GaLo,AnVe,family,1
GaLo,CoVe,family,1
GaLo,GiVe,family,1
GaLo,RuVe,family,1
GaLo,GiZa,family,1
GaLo,OnZa,family,1
GaLo,GiAb,family,1
GaLo,MaAb,family,1
GaLo,PaAl,family,1
GaLo,PiAl,family,1
GaLo,FiAr,family,1
GaLo,GaAr,family,1
GaLo,FrBu,family,1
GaLo,ViBu,family,1
GaLo,SaBu,family,1
GaLo,SaCh,family,1
GaLo,DoFe,family,1
GaLo,GiIn,family,1
GaLo,GiLo,family,2
GaLo,GiOl,family,1
GaLo,AnSi,family,1
GaLo,FrPa,family,1
GaLo,ViSi,family,1
GaLo,VSdA,family,1
GaLo,PiTa,family,1
GiLo,FiMa,family,1
GiLo,BeTi,family,1
GiLo,PiVe,family,1
GiLo,CaZa,family,1
GiLo,AnMa,family,1
GiLo,GiMa,family,1
GiLo,ViMa,family,1
GiLo,GaTi,family,1
GiLo,GiTi,family,1
GiLo,LoTi,family,1
GiLo,AnVe,family,1
GiLo,CoVe,family,1
GiLo,GiVe,family,1
GiLo,RuVe,family,1
GiLo,GiZa,family,1
GiLo,OnZa,family,1
GiLo,GiAb,family,1
GiLo,MaAb,family,1
GiLo,PaAl,family,1
GiLo,PiAl,family,1
GiLo,FiAr,family,1
GiLo,GaAr,family,1
GiLo,FrBu,family,1
GiLo,ViBu,family,1
GiLo,SaBu,family,1
GiLo,SaCh,family,1
GiLo,DoFe,family,1
GiLo,GiIn,family,1
GiLo,GaLo,family,2
GiLo,GiOl,family,1
GiLo,AnSi,family,1
GiLo,FrPa,family,1
GiLo,ViSi,family,1
GiLo,VSdA,family,1
GiLo,PiTa,family,1
GiOl,FiMa,family,1
GiOl,BeTi,family,1
GiOl,PiVe,family,1
GiOl,CaZa,family,1
GiOl,AnMa,family,1
GiOl,GiMa,family,1
GiOl,ViMa,family,1
GiOl,GaTi,family,1
GiOl,GiTi,family,1
GiOl,LoTi,family,1
GiOl,AnVe,family,1
GiOl,CoVe,family,1
GiOl,GiVe,family,1
GiOl,RuVe,family,1
GiOl,GiZa,family,1
GiOl,OnZa,family,1
GiOl,GiAb,family,1
GiOl,MaAb,family,1
GiOl,PaAl,family,1
GiOl,PiAl,family,1
GiOl,FiAr,family,1
GiOl,GaAr,family,1
GiOl,FrBu,family,1
GiOl,ViBu,family,1
GiOl,SaBu,family,1
GiOl,SaCh,family,1
GiOl,DoFe,family,1
GiOl,GiIn,family,1
GiOl,GaLo,family,1
GiOl,GiLo,family,1
GiOl,AnSi,family,1
GiOl,FrPa,family,1
GiOl,ViSi,family,1
GiOl,VSdA,family,1
GiOl,PiTa,family,1
AnSi,FiMa,family,1
AnSi,BeTi,family,1
AnSi,PiVe,family,1
AnSi,CaZa,family,1
AnSi,AnMa,family,1
AnSi,GiMa,family,1
AnSi,ViMa,family,1
AnSi,GaTi,family,1
AnSi,GiTi,family,1
AnSi,LoTi,family,1
AnSi,AnVe,family,1
AnSi,CoVe,family,1
AnSi,GiVe,family,1
AnSi,RuVe,family,1
AnSi,GiZa,family,1
AnSi,OnZa,family,1
AnSi,GiAb,family,1
AnSi,MaAb,family,1
AnSi,PaAl,family,1
AnSi,PiAl,family,1
AnSi,FiAr,family,1
AnSi,GaAr,family,1
AnSi,FrBu,family,1
AnSi,ViBu,family,1
AnSi,SaBu,family,1
AnSi,SaCh,family,1
AnSi,DoFe,family,1
AnSi,GiIn,family,1
AnSi,GaLo,family,1
AnSi,GiLo,family,1
AnSi,GiOl,family,1
AnSi,FrPa,family,2
AnSi,ViSi,family,2
AnSi,VSdA,family,2
AnSi,PiTa,family,1
FrPa,FiMa,family,1
FrPa,BeTi,family,1
FrPa,PiVe,family,1
FrPa,CaZa,family,1
FrPa,AnMa,family,1
FrPa,GiMa,family,1
FrPa,ViMa,family,1
FrPa,GaTi,family,1
FrPa,GiTi,family,1
FrPa,LoTi,family,1
FrPa,AnVe,family,1
FrPa,CoVe,family,1
FrPa,GiVe,family,1
FrPa,RuVe,family,1
FrPa,GiZa,family,1
FrPa,OnZa,family,1
FrPa,GiAb,family,1
FrPa,MaAb,family,1
FrPa,PaAl,family,1
FrPa,PiAl,family,1
FrPa,FiAr,family,1
FrPa,GaAr,family,1
FrPa,FrBu,family,1
FrPa,ViBu,family,1
FrPa,SaBu,family,1
FrPa,SaCh,family,1
FrPa,DoFe,family,1
FrPa,GiIn,family,1
FrPa,GaLo,family,1
FrPa,GiLo,family,1
FrPa,GiOl,family,1
FrPa,AnSi,family,2
FrPa,ViSi,family,2
FrPa,VSdA,family,2
FrPa,PiTa,family,1
ViSi,FiMa,family,1
ViSi,BeTi,family,1
ViSi,PiVe,family,1
ViSi,CaZa,family,1
ViSi,AnMa,family,1
ViSi,GiMa,family,1
ViSi,ViMa,family,1
ViSi,GaTi,family,1
ViSi,GiTi,family,1
ViSi,LoTi,family,1
ViSi,AnVe,family,1
ViSi,CoVe,family,1
ViSi,GiVe,family,1
ViSi,RuVe,family,1
ViSi,GiZa,family,1
ViSi,OnZa,family,1
ViSi,GiAb,family,1
ViSi,MaAb,family,1
ViSi,PaAl,family,1
ViSi,PiAl,family,1
ViSi,FiAr,family,1
ViSi,GaAr,family,1
ViSi,FrBu,family,1
ViSi,ViBu,family,1
ViSi,SaBu,family,1
ViSi,SaCh,family,1
ViSi,DoFe,family,1
ViSi,GiIn,family,1
ViSi,GaLo,family,1
ViSi,GiLo,family,1
ViSi,GiOl,family,1
ViSi,AnSi,family,2
ViSi,FrPa,family,2
ViSi,VSdA,family,2
ViSi,PiTa,family,1
VSdA,FiMa,family,1
VSdA,BeTi,family,1
VSdA,PiVe,family,1
VSdA,CaZa,family,1
VSdA,AnMa,family,1
VSdA,GiMa,family,1
VSdA,ViMa,family,1
VSdA,GaTi,family,1
VSdA,GiTi,family,1
VSdA,LoTi,family,1
VSdA,AnVe,family,1
VSdA,CoVe,family,1
VSdA,GiVe,family,1
VSdA,RuVe,family,1
VSdA,GiZa,family,1
VSdA,OnZa,family,1
VSdA,GiAb,family,1
VSdA,MaAb,family,1
VSdA,PaAl,family,1
VSdA,PiAl,family,1
VSdA,FiAr,family,1
VSdA,GaAr,family,1
VSdA,FrBu,family,1
VSdA,ViBu,family,1
VSdA,SaBu,family,1
VSdA,SaCh,family,1
VSdA,DoFe,family,1
VSdA,GiIn,family,1
VSdA,GaLo,family,1
VSdA,GiLo,family,1
VSdA,GiOl,family,1
VSdA,AnSi,family,2
VSdA,FrPa,family,2
VSdA,ViSi,family,2
VSdA,PiTa,family,1
PiTa,FiMa,family,1
PiTa,BeTi,family,1
PiTa,PiVe,family,1
PiTa,CaZa,family,1
PiTa,AnMa,family,1
PiTa,GiMa,family,1
PiTa,ViMa,family,1
PiTa,GaTi,family,1
PiTa,GiTi,family,1
PiTa,LoTi,family,1
PiTa,AnVe,family,1
PiTa,CoVe,family,1
PiTa,GiVe,family,1
PiTa,RuVe,family,1
PiTa,GiZa,family,1
PiTa,OnZa,family,1
PiTa,GiAb,family,1
PiTa,MaAb,family,1
PiTa,PaAl,family,1
PiTa,PiAl,family,1
PiTa,FiAr,family,1
PiTa,GaAr,family,1
PiTa,FrBu,family,1
PiTa,ViBu,family,1
PiTa,SaBu,family,1
PiTa,SaCh,family,1
PiTa,DoFe,family,1
PiTa,GiIn,family,1
PiTa,GaLo,family,1
PiTa,GiLo,family,1
PiTa,GiOl,family,1
PiTa,AnSi,family,1
PiTa,FrPa,family,1
PiTa,ViSi,family,1
PiTa,VSdA,family,1
FiMa,GiGr,ally,2
GiMa,GiGr,ally,1
PiVe,GaMu,ally,1
FiMa,GiGa,ally,1
FiMa,GiLu,ally,1
AnMa,ViPu,conflict,NA
GiMa,ViPu,conclict,NA
FiMa,ViPu,ally,1
DoFe,GiCa,ally,1
DoFe,StPa,ally,1
DoFe,ViPa,ally,1
OnZa,DoCr,ally,2
GiZa,DoCr,ally,2
CaZa,DoCr,ally,2
GiOl,StPa,ally,1
PaAl,DoCr,ally,2
A,AnDC,family,1
A,GiDC,family,1
AnDC,A,family,1
GiDC,A,family,1
AnDC,GiDC,family,2
AnDC,SaRi,ally,1
AnDC,BePr,ally,1
AnDC,FrCM,ally,1
AnDC,GiSc,ally,1
AnDC,RoRi,ally,1
AnDC,GiGr,ally,1
AnDC,MiGr,ally,1
AnDC,MaAg,ally,1
AnDC,BeBr,ally,1
AnDC,AnGe,ally,1
AnDC,GCal,ally,1
GiDC,AnDC,Giaa,2
B,GiSc,family,1
B,LeGr,family,1
GiSc,B,family,1
LeGr,B,family,1
GiSc,LeGr,family,1
GiSc,AnDC,ally,1
GiSc,RoRi,ally,1
GiSc,FrCM,ally,1
GiSc,BePr,ally,1
GiSc,SaRi,ally,1
GiSc,MiGr,ally,1
GiSc,GiGr,ally,1
GiSc,MaAg,ally,1
GiSc,BeBr,ally,1
GiSc,AnGe,ally,1
GiSc,GCal,ally,1
LeGr,GiSc,family,1
LeGr,MiGr,ally,3
LeGr,BePr,ally,2
P,RoRi,family,1
P,GiCu,family,1
P,GiGi,family,1
P,GaMu,family,1
RoRi,P,family,1
GiCu,P,family,1
GiGi,P,family,1
GaMu,P,family,1
RoRi,GiCu,family,1
RoRi,GiGi,family,1
RoRi,GaMu,family,1
RoRi,SaRi,conflict,NA
RoRi,BePr,conflict,NA
RoRi,AnDC,ally,1
RoRi,GiSc,ally,1
RoRi,AnGe,conflict,NA
RoRi,IgMo,conflict,NA
RoRi,FrCM,conflict,NA
RoRi,MaAG,ally,1
RoRi,BeBr,ally,1
RoRi,GCal,conflict,NA
RoRi,MiGr,ally,1
RoRi,GiGr,ally,1
GiCu,RoRi,family,1
GiCu,GiGi,family,1
GiCu,GaMu,family,1
GiGi,RoRi,family,1
GiGi,GiCu,family,1
GiGi,GaMu,family,1
GaMu,RoRi,family,1
GaMu,GiCu,family,1
GaMu,GiGi,family,1
GaMu,SaRi,ally,2
GaMu,PiVe,ally,1
R,FrCM,family,1
R,GMad,family,1
R,SMad,family,1
R,GiCl,family,1
FrCM,R,family,1
GMad,R,family,1
SMad,R,family,1
GiCl,R,family,1
FrCM,GMad,family,2
FrCM,SMad,family,2
FrCM,GiCl,family,1
FrCM,RoRi,ally,1
FrCM,SaRi,ally,2
FrCM,BePr,ally,2
FrCM,AnDC,ally,1
FrCM,GiSc,ally,1
FrCM,MiGr,ally,1
FrCM,GiGr,ally,1
FrCM,IgMo,ally,1
FrCM,AnGe,ally,1
FrCM,MaAg,ally,1
FrCM,BeBr,ally,1
FrCM,GCal,ally,1
GMad,FrCM,family,2
GMad,SMad,family,2
GMad,GiCl,family,1
GMad,SaRi,ally,2
GMad,ViPu,ally,1
GMad,BeSa,ally,1
SMad,FrCM,family,2
SMad,GMad,family,2
SMad,GiCl,family,1
GiCl,FrCM,family,1
GiCl,GMad,family,1
GiCl,SMad,family,1
SL,GiGa,family,1
GiGa,SL,family,1
GiGa,SaRi,ally,2
GiGa,GiGr,ally,1
GiGa,GiLu,ally,1
GiGa,ViPu,ally,1
GiGa,FiMa,ally,1
GiGa,GBPu,ally,1
TN,ArBo,family,1
TN,FrBo,family,1
TN,LuBo,family,1
ArBo,TN,family,1
FrBo,TN,family,1
LuBo,TN,family,1
ArBo,FrBo,family,2
ArBo,LuBo,family,2
ArBo,ViPu,ally,1
FrBo,ArBo,family,2
FrBo,LuBo,family,2
FrBo,PiPu,ally,1
LuBo,ArBo,family,2
LuBo,FrBo,family,2
BC,GSav,family,1
BC,CaSa,family,1
BC,ViSa,family,1
BC,AnCa,family,1
BC,GiuC,family,1
BC,BeGr,family,1
BC,FiGr,family,1
BC,GGra,family,1
BC,AnLI,family,1
GSav,BC,family,1
CaSa,BC,family,1
ViSa,BC,family,1
AnCa,BC,family,1
GiuC,BC,family,1
BeGr,BC,family,1
FiGr,BC,family,1
GGra,BC,family,1
AnLI,BC,family,1
GSav,GiLu,ally,1
GSav,CaSa,family,2
GSav,ViSa,family,2
GSav,AnCa,family,1
GSav,GiuC,family,1
GSav,BeGr,family,1
GSav,FiGr,family,1
GSav,GGra,family,1
GSav,AnLI,family,1
CaSa,GiLu,ally,1
CaSa,GSav,family,2
CaSa,ViSa,family,2
CaSa,AnCa,family,1
CaSa,GiuC,family,1
CaSa,BeGr,family,1
CaSa,FiGr,family,1
CaSa,GGra,family,1
CaSa,AnLI,family,1
ViSa,GiLu,ally,1
ViSa,GSav,family,2
ViSa,CaSa,family,2
ViSa,AnCa,family,1
ViSa,GiuC,family,1
ViSa,BeGr,family,1
ViSa,FiGr,family,1
ViSa,GGra,family,1
ViSa,AnLI,family,1
AnCa,GiLu,ally,1
AnCa,GSav,family,1
AnCa,CaSa,family,1
AnCa,ViSa,family,1
AnCa,GiuC,family,2
AnCa,BeGr,family,1
AnCa,FiGr,family,1
AnCa,GGra,family,1
AnCa,AnLI,family,1
AnCa,MiGr,ally,2
GiuC,GiLu,ally,1
GiuC,GSav,family,1
GiuC,CaSa,family,1
GiuC,ViSa,family,1
GiuC,AnCa,family,2
GiuC,BeGr,family,1
GiuC,FiGr,family,1
GiuC,GGra,family,1
GiuC,AnLI,family,1
BeGr,GiLu,ally,1
BeGr,GSav,family,1
BeGr,CaSa,family,1
BeGr,ViSa,family,1
BeGr,AnCa,family,1
BeGr,GiuC,family,1
BeGr,FiGr,family,2
BeGr,GGra,family,2
BeGr,AnLI,family,1
FiGr,GiLu,ally,1
FiGr,GSav,family,1
FiGr,CaSa,family,1
FiGr,ViSa,family,1
FiGr,AnCa,family,1
FiGr,GiuC,family,1
FiGr,BeGr,family,2
FiGr,GGra,family,2
FiGr,AnLI,family,1
GGra,GiLu,ally,1
GGra,GSav,family,1
GGra,CaSa,family,1
GGra,ViSa,family,1
GGra,AnCa,family,1
GGra,GiuC,family,1
GGra,BeGr,family,2
GGra,FiGr,family,2
GGra,AnLI,family,1
GGra,SaRi,ally,2
AnLI,GiLu,ally,1
AnLI,GSav,family,1
AnLI,CaSa,family,1
AnLI,ViSa,family,1
AnLI,AnCa,family,1
AnLI,GiuC,family,1
AnLI,BeGr,family,1
AnLI,FiGr,family,1
AnLI,GGra,family,1
CC,GiLu,family,1
CC,RoMa,family,1
CC,SaMa,family,1
CC,MiGr,family,1
CC,SaGr,family,1
CC,GiGr,family,1
CC,GiuG,family,1
CC,GGre,family,1
CC,FrBu,family,1
CC,ViBu,family,1
CC,GiCa,family,1
CC,AnLu,family,1
CC,GiPa,family,1
CC,StPa,family,1
CC,GiPr,family,1
CC,GPre,family,1
CC,GiuP,family,1
CC,DoCr,family,1
CC,AnLR,family,1
CC,GiLR,family,1
CC,ViPa,family,1
CC,AnPu,family,1
CC,PiPu,family,1
CC,ViPu,family,1
CC,SaPr,family,1
CC,NiPr,family,1
CC,NGre,family,1
GiLu,CC,family,1
RoMa,CC,family,1
SaMa,CC,family,1
MiGr,CC,family,1
SaGr,CC,family,1
GiGr,CC,family,1
GiuG,CC,family,1
GGre,CC,family,1
FrBu,CC,family,1
ViBu,CC,family,1
GiCa,CC,family,1
AnLu,CC,family,1
GiPa,CC,family,1
StPa,CC,family,1
GiPr,CC,family,1
GPre,CC,family,1
GiuP,CC,family,1
DoCr,CC,family,1
AnLR,CC,family,1
GiLR,CC,family,1
ViPa,CC,family,1
AnPu,CC,family,1
PiPu,CC,family,1
ViPu,CC,family,1
SaPr,CC,family,1
NiPr,CC,family,1
NGre,CC,family,1
MiGr,SaGr,family,2
MiGr,GiGr,family,1
MiGr,GiuG,family,2
MiGr,GGre,family,2
MiGr,FrBu,family,1
MiGr,ViBu,family,1
MiGr,GiCa,family,1
MiGr,AnLu,family,1
MiGr,GiPa,family,1
MiGr,StPa,family,1
MiGr,GiPr,family,1
